Experiment,Litter,Channel,Marker,ab.2,Experimenter
022517Spry_AH,AH,CH3,NANOG.rb,af647.rb,NS
022517Spry_AH,AH,CH4,BF,NA,NS
022517Spry_AH,AH,CH5,GATA6.gt,af568.gt,NS
041817Spry_AI,AI,CH1,DNA,Hoechst,NS
041817Spry_AI,AI,CH2,Venus,no.ab,NS
041817Spry_AI,AI,CH3,NANOG.rb,af647.rb,NS
041817Spry_AI,AI,CH4,BF,NA,NS
041817Spry_AI,AI,CH5,GATA6.gt,af568.gt,NS
042617Spry_AK,AK,CH1,DNA,Hoechst,NS
042617Spry_AK,AK,CH2,Venus,no.ab,NS
042617Spry_AK,AK,CH3,NANOG.rb,af647.rb,NS
042617Spry_AK,AK,CH4,BF,NA,NS
042617Spry_AK,AK,CH5,GATA6.gt,af568.gt,NS
042817Spry_AL,AL,CH1,DNA,Hoechst,NS
042817Spry_AL,AL,CH2,GFP.ck,af488.ck,NS
042817Spry_AL,AL,CH3,NANOG.rb,af647.rb,NS
042817Spry_AL,AL,CH4,BF,NA,NS
042817Spry_AL,AL,CH5,GATA6.gt,af568.gt,NS
050417Spry_AM,AM,CH1,DNA,Hoechst,NS
050417Spry_AM,AM,CH2,GFP.ck,af488.ck,NS
050417Spry_AM,AM,CH3,NANOG.rb,af647.rb,NS
050417Spry_AM,AM,CH4,BF,NA,NS
050417Spry_AM,AM,CH5,GATA6.gt,af568.gt,NS
050417Spry_AN,AN,CH1,DNA,Hoechst,NS
050417Spry_AN,AN,CH2,GFP.ck,af488.ck,NS
050417Spry_AN,AN,CH3,NANOG.rb,af647.rb,NS
050417Spry_AN,AN,CH4,BF,NA,NS
050417Spry_AN,AN,CH5,GATA6.gt,af568.gt,NS
052217Spry_AO,AO,CH1,DNA,Hoechst,NS
052217Spry_AO,AO,CH2,GFP.ck,af488.ck,NS
052217Spry_AO,AO,CH3,NANOG.rb,af647.rb,NS
052217Spry_AO,AO,CH4,BF,NA,NS
052217Spry_AO,AO,CH5,GATA6.gt,af568.gt,NS
052217Spry_AP,AP,CH1,DNA,Hoechst,NS
052217Spry_AP,AP,CH2,Venus,no.ab,NS
052217Spry_AP,AP,CH3,NANOG.rb,af647.rb,NS
052217Spry_AP,AP,CH4,BF,NA,NS
052217Spry_AP,AP,CH5,GATA6.gt,af568.gt,NS
052417Spry_AQ,AQ,CH1,DNA,Hoechst,NS
052417Spry_AQ,AQ,CH2,Venus,no.ab,NS
052417Spry_AQ,AQ,CH3,NANOG.rb,af647.rb,NS
052417Spry_AQ,AQ,CH4,BF,NA,NS
052417Spry_AQ,AQ,CH5,GATA6.gt,af568.gt,NS
091117Spry_AR,AR,CH1,DNA,Hoechst,NS
091117Spry_AR,AR,CH2,GFP.ck,af488.ck,NS
091117Spry_AR,AR,CH3,NANOG.rb,af647.rb,NS
091117Spry_AR,AR,CH4,BF,NA,NS
091117Spry_AR,AR,CH5,GATA6.gt,af568.gt,NS
091117Spry_AS,AS,CH1,DNA,Hoechst,NS
091117Spry_AS,AS,CH2,GFP.ck,af488.ck,NS
091117Spry_AS,AS,CH3,NANOG.rb,af647.rb,NS
091117Spry_AS,AS,CH4,BF,NA,NS
091117Spry_AS,AS,CH5,GATA6.gt,af568.gt,NS
091917Spry_AU,AU,CH1,DNA,Hoechst,NS
091917Spry_AU,AU,CH2,Venus,no.ab,NS
091917Spry_AU,AU,CH3,NANOG.rb,af647.rb,NS
091917Spry_AU,AU,CH4,BF,NA,NS
091917Spry_AU,AU,CH5,GATA6.gt,af568.gt,NS
092917Spry_AV,AV,CH1,DNA,Hoechst,NS
092917Spry_AV,AV,CH2,Venus,no.ab,NS
092917Spry_AV,AV,CH3,NANOG.rb,af647.rb,NS
092917Spry_AV,AV,CH4,BF,NA,NS
092917Spry_AV,AV,CH5,GATA6.gt,af568.gt,NS
100517Spry_AWa,AW,CH1,DNA,Hoechst,NS
100517Spry_AWa,AW,CH2,Venus,no.ab,NS
100517Spry_AWa,AW,CH3,NANOG.rb,af647.rb,NS
100517Spry_AWa,AW,CH4,BF,NA,NS
100517Spry_AWa,AW,CH5,GATA6.gt,af568.gt,NS
100517Spry_AWb,AW,CH1,DNA,Hoechst,NS
100517Spry_AWb,AW,CH2,GFP.ck,af488.ck,NS
100517Spry_AWb,AW,CH3,NANOG.rb,af647.rb,NS
100517Spry_AWb,AW,CH4,BF,NA,NS
100517Spry_AWb,AW,CH5,GATA6.gt,af568.gt,NS
100617Spry_AXa,AX,CH1,DNA,Hoechst,NS
100617Spry_AXa,AX,CH2,Venus,no.ab,NS
100617Spry_AXa,AX,CH3,NANOG.rb,af647.rb,NS
100617Spry_AXa,AX,CH4,BF,NA,NS
100617Spry_AXa,AX,CH5,GATA6.gt,af568.gt,NS
100617Spry_AXb,AX,CH1,DNA,Hoechst,NS
100617Spry_AXb,AX,CH2,GFP.ck,af488.ck,NS
100617Spry_AXb,AX,CH3,NANOG.rb,af647.rb,NS
100617Spry_AXb,AX,CH4,BF,NA,NS
100617Spry_AXb,AX,CH5,GATA6.gt,af568.gt,NS
R1_A,A,CH1,DNA,Hoechst,VG
R1_A,A,CH2,BF,NA,VG
R1_A,A,CH3,GFP.ck,af488.ck,VG
R1_A,A,CH4,NANOG.rb,af647.rb,VG
R1_A,A,CH5,GATA6.gt,af568.gt,VG
R1_B,B,CH1,DNA,Hoechst,VG
R1_B,B,CH2,BF,NA,VG
R1_B,B,CH3,GFP.ck,af488.ck,VG
R1_B,B,CH4,NANOG.rb,af647.rb,VG
R1_B,B,CH5,GATA6.gt,af568.gt,VG
R1_C,C,CH1,DNA,Hoechst,VG
R1_C,C,CH2,BF,NA,VG
R1_C,C,CH3,GFP.ck,af488.ck,VG
R1_C,C,CH4,NANOG.rb,af647.rb,VG
R1_C,C,CH5,GATA6.gt,af568.gt,VG
R1_D,D,CH1,DNA,Hoechst,VG
R1_D,D,CH2,BF,NA,VG
R1_D,D,CH3,GFP.ck,af488.ck,VG
R1_D,D,CH4,NANOG.rb,af647.rb,VG
R1_D,D,CH5,GATA6.gt,af568.gt,VG
R1_E,E,CH1,DNA,Hoechst,VG
R1_E,E,CH2,BF,NA,VG
R1_E,E,CH3,GFP.ck,af488.ck,VG
R1_E,E,CH4,NANOG.rb,af647.rb,VG
R1_E,E,CH5,GATA6.gt,af568.gt,VG
R1_I,I,CH1,DNA,Hoechst,VG
R1_I,I,CH2,BF,NA,VG
R1_I,I,CH3,GFP.ck,af488.ck,VG
R1_I,I,CH4,NANOG.rb,af647.rb,VG
R1_I,I,CH5,GATA6.gt,af568.gt,VG
R1_J,J,CH1,DNA,Hoechst,VG
R1_J,J,CH2,BF,NA,VG
R1_J,J,CH3,GFP.ck,af488.ck,VG
R1_J,J,CH4,NANOG.rb,af647.rb,VG
R1_J,J,CH5,GATA6.gt,af568.gt,VG
R2_A,A,CH1,DNA,Hoechst,VG
R2_A,A,CH2,BF,NA,VG
R2_A,A,CH3,GFP.ck,af488.ck,VG
R2_A,A,CH4,NANOG.rb,af647.rb,VG
R2_A,A,CH5,GATA6.gt,af568.gt,VG
R2_B,B,CH1,DNA,Hoechst,VG
R2_B,B,CH2,BF,NA,VG
R2_B,B,CH3,GFP.ck,af488.ck,VG
R2_B,B,CH4,NANOG.rb,af647.rb,VG
R2_B,B,CH5,GATA6.gt,af568.gt,VG
R2_C,C,CH1,DNA,Hoechst,VG
R2_C,C,CH2,BF,NA,VG
R2_C,C,CH3,GFP.ck,af488.ck,VG
R2_C,C,CH4,NANOG.rb,af647.rb,VG
R2_C,C,CH5,GATA6.gt,af568.gt,VG
R2_D,D,CH1,DNA,Hoechst,VG
R2_D,D,CH2,BF,NA,VG
R2_D,D,CH3,GFP.ck,af488.ck,VG
R2_D,D,CH4,NANOG.rb,af647.rb,VG
R2_D,D,CH5,GATA6.gt,af568.gt,VG
R2_E,E,CH1,DNA,Hoechst,VG
R2_E,E,CH2,BF,NA,VG
R2_E,E,CH3,GFP.ck,af488.ck,VG
R2_E,E,CH4,NANOG.rb,af647.rb,VG
R2_E,E,CH5,GATA6.gt,af568.gt,VG
R2_F,F,CH1,DNA,Hoechst,VG
R2_F,F,CH2,BF,NA,VG
R2_F,F,CH3,GFP.ck,af488.ck,VG
R2_F,F,CH4,NANOG.rb,af647.rb,VG
R2_F,F,CH5,GATA6.gt,af568.gt,VG
R2_G,G,CH1,DNA,Hoechst,VG
R2_G,G,CH2,BF,NA,VG
R2_G,G,CH3,GFP.ck,af488.ck,VG
R2_G,G,CH4,NANOG.rb,af647.rb,VG
R2_G,G,CH5,GATA6.gt,af568.gt,VG
R2_J,J,CH1,DNA,Hoechst,VG
R2_J,J,CH2,BF,NA,VG
R2_J,J,CH3,GFP.ck,af488.ck,VG
R2_J,J,CH4,NANOG.rb,af647.rb,VG
R2_J,J,CH5,GATA6.gt,af568.gt,VG
R2_K,K,CH1,DNA,Hoechst,VG
R2_K,K,CH2,BF,NA,VG
R2_K,K,CH3,GFP.ck,af488.ck,VG
R2_K,K,CH4,NANOG.rb,af647.rb,VG
R2_K,K,CH5,GATA6.gt,af568.gt,VG
R2_L,L,CH1,DNA,Hoechst,VG
R2_L,L,CH2,BF,NA,VG
R2_L,L,CH3,GFP.ck,af488.ck,VG
R2_L,L,CH4,NANOG.rb,af647.rb,VG
R2_L,L,CH5,GATA6.gt,af568.gt,VG
R2_M,M,CH1,DNA,Hoechst,VG
R2_M,M,CH2,BF,NA,VG
R2_M,M,CH3,GFP.ck,af488.ck,VG
R2_M,M,CH4,NANOG.rb,af647.rb,VG
R2_M,M,CH5,GATA6.gt,af568.gt,VG
F4_G,G,CH1,DNA,Hoechst,VG
F4_G,G,CH2,BF,NA,VG
F4_G,G,CH3,GFP.ck,af488.ck,VG
F4_G,G,CH4,NANOG.rb,af647.rb,VG
F4_G,G,CH5,GATA6.gt,af568.gt,VG
F4_H,H,CH1,DNA,Hoechst,VG
F4_H,H,CH2,BF,NA,VG
F4_H,H,CH3,GFP.ck,af488.ck,VG
F4_H,H,CH4,NANOG.rb,af647.rb,VG
F4_H,H,CH5,GATA6.gt,af568.gt,VG
F4_I,I,CH1,DNA,Hoechst,VG
F4_I,I,CH2,BF,NA,VG
F4_I,I,CH3,GFP.ck,af488.ck,VG
F4_I,I,CH4,NANOG.rb,af647.rb,VG
F4_I,I,CH5,GATA6.gt,af568.gt,VG
F4_J,J,CH1,DNA,Hoechst,VG
F4_J,J,CH2,BF,NA,VG
F4_J,J,CH3,GFP.ck,af488.ck,VG
F4_J,J,CH4,NANOG.rb,af647.rb,VG
F4_J,J,CH5,GATA6.gt,af568.gt,VG
F4_K,K,CH1,DNA,Hoechst,VG
F4_K,K,CH2,BF,NA,VG
F4_K,K,CH3,GFP.ck,af488.ck,VG
F4_K,K,CH4,NANOG.rb,af647.rb,VG
F4_K,K,CH5,GATA6.gt,af568.gt,VG
F4_L,L,CH1,DNA,Hoechst,VG
F4_L,L,CH2,BF,NA,VG
F4_L,L,CH3,GFP.ck,af488.ck,VG
F4_L,L,CH4,NANOG.rb,af647.rb,VG
F4_L,L,CH5,GATA6.gt,af568.gt,VG
